Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
YES,Chrome 114.0.0.0,,,2023-06-14 14:23:31,2023-06-14 14:28:25,4m - 54.006s,PASSED
,,,,,,,
Test Cases/DTC_NS_Registartion,Chrome 114.0.0.0,,,2023-06-14 14:23:31,2023-06-14 14:23:57,25.926s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-14 14:23:32,2023-06-14 14:23:35,3.068s,PASSED
"navigateToUrl(""https://qa.watchyesnetwork.com/"")",Chrome 114.0.0.0,,,2023-06-14 14:23:35,2023-06-14 14:23:40,4.841s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:23:40,2023-06-14 14:23:40,0.114s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_DISMISS""))",Chrome 114.0.0.0,,,2023-06-14 14:23:40,2023-06-14 14:23:41,0.991s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_SUBSCRIBE NOW""))",Chrome 114.0.0.0,,,2023-06-14 14:23:41,2023-06-14 14:23:41,0.743s,PASSED
"setText(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/input_Name_name""), ""Djay"")",Chrome 114.0.0.0,,,2023-06-14 14:23:41,2023-06-14 14:23:43,1.122s,PASSED
RN = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 114.0.0.0,,,2023-06-14 14:23:43,2023-06-14 14:23:43,0.001s,PASSED
RN = Math.random() * 5000,Chrome 114.0.0.0,,,2023-06-14 14:23:43,2023-06-14 14:23:43,0.010s,PASSED
"setText(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/input_Email Address_email""), ""Djay+test"" + RN + ""@amdocs.com"")",Chrome 114.0.0.0,,,2023-06-14 14:23:43,2023-06-14 14:23:43,0.663s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 114.0.0.0,,,2023-06-14 14:23:43,2023-06-14 14:23:44,0.393s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/div_Date of Birth""))",Chrome 114.0.0.0,,,2023-06-14 14:23:44,2023-06-14 14:23:44,0.547s,PASSED
"setText(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/input_Date of Birth_dob""), ""2000/01/01"")",Chrome 114.0.0.0,,,2023-06-14 14:23:44,2023-06-14 14:23:45,0.625s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/select_OptionalMaleFemaleOtherPrefer not to answer""), ""Male"", true)",Chrome 114.0.0.0,,,2023-06-14 14:23:45,2023-06-14 14:23:46,0.871s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:23:46,2023-06-14 14:23:46,0.326s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_NOT INTERESTED""))",Chrome 114.0.0.0,,,2023-06-14 14:23:46,2023-06-14 14:23:50,4.102s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_Brooklyn-Nets""))",Chrome 114.0.0.0,,,2023-06-14 14:23:50,2023-06-14 14:23:51,0.855s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_YOUR FAVORITE TEAMS_NewYork-Liberty""))",Chrome 114.0.0.0,,,2023-06-14 14:23:51,2023-06-14 14:23:51,0.505s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_NEXT""))",Chrome 114.0.0.0,,,2023-06-14 14:23:51,2023-06-14 14:23:52,0.294s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/button_Ill do this later""))",Chrome 114.0.0.0,,,2023-06-14 14:23:52,2023-06-14 14:23:53,0.862s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/span_MAYBE LATER""))",Chrome 114.0.0.0,,,2023-06-14 14:23:53,2023-06-14 14:23:53,0.667s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/img""))",Chrome 114.0.0.0,,,2023-06-14 14:23:53,2023-06-14 14:23:56,2.380s,PASSED
"verifyElementText(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/div_Subscribe Now""), ""Subscribe Now"")",Chrome 114.0.0.0,,,2023-06-14 14:23:56,2023-06-14 14:23:56,0.542s,PASSED
"click(findTestObject(""Object Repository/Registration_NS/Page_Watch  YES Network/div_Log Out""))",Chrome 114.0.0.0,,,2023-06-14 14:23:56,2023-06-14 14:23:57,0.365s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-14 14:23:57,2023-06-14 14:23:57,0.757s,PASSED
,,,,,,,
Test Cases/Launch Screen,Chrome 114.0.0.0,,,2023-06-14 14:23:57,2023-06-14 14:24:16,18.723s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-14 14:23:58,2023-06-14 14:23:59,1.768s,PASSED
"navigateToUrl(""https://qa.watchyesnetwork.com/"")",Chrome 114.0.0.0,,,2023-06-14 14:23:59,2023-06-14 14:24:12,12.792s,PASSED
waitForPageLoad(5),Chrome 114.0.0.0,,,2023-06-14 14:24:12,2023-06-14 14:24:12,0.012s,PASSED
